,customerId,churnPrediction
176,2656-FMOKZ,Yes
177,2070-FNEXE,No
178,5947-SGKCL,No
179,3712-PKXZA,No
180,6317-YPKDH,Yes
181,6582-OIVSP,Yes
182,9367-WXLCH,Yes
183,5524-KHNJP,No
184,1918-ZBFQJ,Yes
185,1024-GUALD,Yes
186,4827-USJHP,No
187,8167-GJLRN,Yes
188,0956-SYCWG,No
189,8017-UVSZU,No
190,7100-FQPRV,No
191,2472-OVKUP,Yes
192,2984-RGEYA,No
193,9680-NIAUV,No
194,2146-EGVDT,No
195,2604-IJPDU,No
196,9178-JHUVJ,No
197,6168-YBYNP,No
198,7255-SSFBC,No
199,3645-DEYGF,No
200,9323-HGFWY,No
201,8544-GOQSH,No
202,3363-DTIVD,No
203,7018-WBJNK,No
204,9142-KZXOP,No
205,7674-YTAFD,No
206,6348-SNFUS,No
207,1285-OKIPP,Yes
208,7825-ECJRF,No
209,1347-KTTTA,No
210,7841-TZDMQ,Yes
211,4195-NZGTA,Yes
212,7157-SMCFK,No
213,4709-LKHYG,No
214,2504-DSHIH,Yes
215,0699-NDKJM,No
216,9286-BHDQG,No
217,0230-WEQUW,No
218,2040-LDIWQ,No
219,6496-JDSSB,Yes
220,9408-SSNVZ,Yes
221,4443-EMBNA,No
222,6469-MRVET,No
223,0742-MOABM,No
224,5961-VUSRV,No
225,6778-JFCMK,No
226,6341-JVQGF,No
227,2232-DMLXU,Yes
228,4811-JBUVU,No
229,0945-TSONX,No
230,2651-ZCBXV,No
231,3316-UWXUY,No
232,8937-RDTHP,Yes
233,7083-MIOPC,No
234,1984-GPTEH,No
235,1251-KRREG,No
236,0621-JFHOL,No
237,9903-LYSAB,No
238,0094-OIFMO,Yes
239,9227-UAQFT,No
240,7301-ABVAD,No
241,6614-FHDBO,No
242,7576-ASEJU,No
243,9058-HRZSV,No
244,4522-AKYLR,No
245,0221-WMXNQ,No
246,0303-UNCIP,No
247,9947-OTFQU,Yes
248,0322-YINQP,No
249,0959-WHOKV,No
250,4075-JFPGR,No
251,4629-NRXKX,Yes
252,9514-JDSKI,Yes
253,3282-ZISZV,No
254,3675-YDUPJ,No
255,4111-BNXIF,No
256,7017-VFHAY,No
257,6655-LHBYW,No
258,4959-JOSRX,Yes
259,5046-NUHWD,No
260,7273-TEFQD,Yes
261,3606-TWKGI,Yes
262,7529-ZDFXI,No
263,7605-BDWDC,No
264,1950-KSVVJ,No
265,0123-CRBRT,No
266,6292-TOSSS,No
267,3197-ARFOY,No
268,6323-AYBRX,No
269,7014-ZZXAW,No
270,4385-GZQXV,No
271,7633-MVPUY,No
272,6366-ZGQGL,Yes
273,4716-HHKQH,Yes
274,5940-AHUHD,Yes
275,6432-TWQLB,Yes
276,4484-GLZOU,No
277,3179-GBRWV,No
278,8645-KWHJO,No
279,4130-MZLCC,No
280,0314-TKOSI,No
281,8229-MYEJZ,No
282,2080-SRCDE,No
283,9577-WJVCQ,No
284,9512-UIBFX,No
285,6202-DYYFX,No
286,3808-HFKDE,No
287,5583-SXDAG,Yes
288,3488-PGMQJ,Yes
289,3580-REOAC,No
290,7534-BFESC,Yes
291,3727-OWVYD,No
292,2294-SALNE,No
293,4847-TAJYI,Yes
294,1563-IWQEX,No
295,8203-XJZRC,No
296,6556-DBKZF,No
297,6851-WEFYX,Yes
298,2985-JUUBZ,No
299,6390-DSAZX,Yes
300,0895-LMRSF,No
301,8098-LLAZX,Yes
302,8266-VBFQL,Yes
303,8181-YHCMF,No
304,2240-HSJQD,No
305,1248-DYXUB,No
306,0265-EDXBD,Yes
307,4115-BNPJY,No
308,3167-SNQPL,No
309,4091-TVOCN,No
310,1098-TDVUQ,No
311,7277-OZCGZ,No
312,1557-EMYVT,No
313,2799-ARNLO,Yes
314,7563-BIUPC,Yes
315,5027-YOCXN,No
316,3973-SKMLN,No
317,2321-OMBXY,No
318,2840-XANRC,Yes
319,6745-JEFZB,No
320,5020-ZSTTY,No
321,9880-TDQAC,No
322,8705-WZCYL,Yes
323,7102-JJVTX,No
324,8626-PTQGE,No
325,4983-CLMLV,No
326,5701-YVSVF,Yes
327,5804-LEPIM,Yes
328,5697-GOMBF,No
329,2739-CACDQ,No
330,9385-EHGDO,No
331,9498-FIMXL,No
332,2379-GYFLQ,No
333,0122-OAHPZ,Yes
334,2868-SNELZ,Yes
335,4322-RCYMT,No
336,6680-NENYN,No
337,2088-IEBAU,No
338,7982-VCELR,No
339,1343-EHPYB,No
340,6035-BXTTY,No
341,6885-PKOAM,No
342,7520-HQWJU,No
343,9639-BUJXT,No
344,5924-SNGKP,No
345,0021-IKXGC,Yes
346,2034-GDRCN,Yes
347,8966-SNIZF,No
348,6243-OZGFH,No
349,4654-DLAMQ,No
350,0513-RBGPE,No
351,5160-UXJED,No
352,4115-NZRKS,Yes
353,0219-YTZUE,Yes
354,0623-IIHUG,No
355,4572-DVCGN,Yes
356,3351-NGXYI,No
357,8984-EYLLL,No
358,9057-MSWCO,No
359,9833-TGFHX,No
360,9294-TDIPC,No
361,5229-DTFYB,No
362,0104-PPXDV,No
363,5176-LMJXE,No
364,3583-KRKMD,No
365,1010-DIAUQ,Yes
366,9069-LGEUL,No
367,7302-ZHMHP,No
368,9571-EDEBV,No
369,3520-FJGCV,No
370,6563-VRERX,No
371,0259-GBZSH,Yes
372,6122-EFVKN,No
373,2805-EDJPQ,No
374,6862-CQUMB,No
375,7156-MXBJE,No
376,6158-HDPXZ,Yes
377,9601-BRXPO,No
378,2863-IMQDR,No
379,5686-CMAWK,No
380,5651-CRHKQ,No
381,6905-NIQIN,No
382,8204-YJCLA,No
383,5167-ZFFMM,Yes
384,6583-SZVGP,No
385,4895-TMWIR,No
386,0533-BNWKF,No
387,1708-PBBOA,No
388,8782-LKFPK,No
389,5522-JBWMO,Yes
390,3597-MVHJT,No
391,9774-NRNAU,No
392,0224-RLWWD,Yes
393,9967-ATRFS,No
394,3951-NJCVI,No
395,2977-CEBSX,No
396,0177-PXBAT,No
397,6599-CEBNN,No
398,2519-ERQOJ,No
399,5876-QMYLD,No
400,2277-AXSDC,No
401,9442-JTWDL,No
402,0979-PHULV,No
403,3067-SVMTC,No
404,5495-GPSRW,No
405,7606-BPHHN,No
406,4742-DRORA,No
407,0111-KLBQG,No
408,4800-VHZKI,No
409,7989-CHGTL,No
410,0334-GDDSO,Yes
411,4163-NCJAK,No
412,5233-AOZUF,Yes
413,5973-EJGDP,No
414,1996-DBMUS,No
415,7916-VCCPB,No
416,4686-GEFRM,No
417,5249-QYHEX,No
418,0578-SKVMF,No
419,5564-NEMQO,Yes
420,2233-FAGXV,No
421,5605-IYGFG,Yes
422,7663-ZTEGJ,No
423,3935-TBRZZ,No
424,8111-BKVDS,No
425,2055-SIFSS,No
426,2806-MLNTI,No
427,8734-DKSTZ,Yes
428,4360-PNRQB,No
429,6152-ONASV,No
430,9063-ZGTUY,No
431,7781-HVGMK,No
432,2181-UAESM,Yes
433,2957-LOLHO,No
434,6048-NJXHX,No
435,2320-SLKMB,No
436,4980-URKXC,No
437,4376-KFVRS,No
438,5886-VLQVU,No
439,3577-AMVUX,Yes
440,0771-WLCLA,No
441,5628-RKIFK,No
442,0206-TBWLC,No
443,2937-FTHUR,No
444,1910-FMXJM,No
445,7752-XUSCI,No
446,4110-PFEUZ,Yes
447,0732-OCQOC,No
448,5168-MSWXT,Yes
449,1090-ESELR,No
450,8592-PLTMQ,No
451,5760-WRAHC,No
452,8847-GEOOQ,No
453,0256-LTHVJ,Yes
454,4785-FCIFB,No
455,8313-NDOIA,Yes
456,5149-CUZUJ,No
457,0942-KOWSM,No
458,4237-CLSMM,No
459,1452-VOQCH,Yes
460,4719-UMSIY,No
461,6614-VBEGU,No
462,0880-TKATG,Yes
463,3811-VBYBZ,Yes
464,1480-BKXGA,No
465,2996-XAUVF,No
466,9076-AXYIK,No
467,5968-XQIVE,No
468,8896-RAZCR,No
469,4640-UHDOS,No
470,4933-IKULF,No
471,3583-EKAPL,Yes
472,1304-BCCFO,No
473,4104-PVRPS,No
474,9399-APLBT,Yes
475,2359-KMGLI,Yes
476,3780-DDGSE,No
477,4431-EDMIQ,No
478,0306-JAELE,Yes
479,6227-HWPWX,No
480,0486-LGCCH,No
481,0447-BEMNG,No
482,4612-SSVHJ,Yes
483,5168-MQQCA,No
484,5949-XIKAE,Yes
485,7971-HLVXI,No
486,9094-AZPHK,Yes
487,3649-JPUGY,No
488,4472-LVYGI,error occurred
489,8372-JUXUI,Yes
490,3552-CTCYF,No
491,6778-YSNIH,No
492,0388-EOPEX,No
493,5756-OZRIO,No
494,6579-JPICP,No
495,8205-OTCHB,No
496,4134-BSXLX,No
497,0505-SPOOW,No
498,6235-VDHOM,No
499,7783-YKGDV,Yes
500,4374-YMUSQ,No
501,4513-CXYIX,No
502,3957-HHLMR,No
503,7803-XOCCZ,No
504,5736-YEJAX,No
505,5609-CEBID,Yes
506,8981-FJGLA,No
507,7218-HKQFK,Yes
508,4636-QRJKY,Yes
509,1135-LMECX,No
510,4332-MUOEZ,No
511,8535-SFUTN,No
512,5956-VKDTT,Yes
513,8677-HDZEE,No
514,2475-MROZF,No
515,9412-GHEEC,No
516,3482-ABPKK,No
517,6705-LXORM,Yes
518,0257-ZESQC,No
519,7531-GQHME,No
520,5174-ITUMV,No
521,4109-CYRBD,No
522,0913-XWSCN,No
523,6825-UYPFK,No
524,8397-MVTAZ,Yes
525,0750-EBAIU,No
526,8606-CIQUL,No
527,3571-DPYUH,No
528,7601-GNDYK,No
529,0356-OBMAC,No
530,8067-NIOYM,No
531,1403-GYAFU,No
532,4234-XTNEA,Yes
533,1297-VQDRP,No
534,9282-IZGQK,Yes
535,5348-CAGXB,Yes
536,0621-HJWXJ,No
537,5844-QVTAT,No
538,8905-IAZPF,No
539,5394-MEITZ,No
540,6859-QNXIQ,No
541,2782-LFZVW,No
542,2866-IKBTM,No
543,1342-JPNKI,Yes
544,2817-NTQDO,No
545,7129-AZJDE,No
546,6986-IJDHX,No
547,2560-PPCHE,No
548,4676-MQUEA,No
549,8138-EALND,No
550,3580-HYCSP,No
551,1352-HNSAW,No
552,2075-PUEPR,No
553,1982-FEBTD,No
554,5301-GAUUY,No
555,5791-KAJFD,No
556,2654-VBVPB,No
557,1154-HYWWO,No
558,2501-XWWTZ,No
559,3716-UVSPD,Yes
560,6815-ABQFQ,No
561,7343-EOBEU,No
562,3701-SFMUH,No
563,6103-LIANB,No
564,7319-VENRZ,No
565,5846-NEQVZ,No
566,6967-QIQRV,No
567,5781-RFZRP,No
568,0939-YAPAF,Yes
569,0308-IVGOK,No
570,7293-LSCDV,No
571,7025-WCBNE,No
572,5756-JYOJT,No
573,4710-FDUIZ,No
574,6030-REHUX,No
575,9548-LIGTA,No
576,5150-LJNSR,No
577,8270-RKSAP,No
578,6522-YRBXD,No
579,2640-LYMOV,No
580,1218-VKFPE,No
581,3627-FHKBK,Yes
582,2865-TCHJW,Yes
583,1423-BMPBQ,No
584,2393-DIVAI,No
585,5192-EBGOV,Yes
586,4568-KNYWR,No
587,8752-IMQOS,No
588,0742-LAFQK,No
589,0795-LAFGP,No
590,0619-OLYUR,No
591,5512-IDZEI,No
592,0459-SPZHJ,No
593,0215-BQKGS,No
594,9244-ZVAPM,Yes
595,0719-SYFRB,No
596,8208-EUMTE,No
597,5172-MIGPM,No
598,1710-RCXUS,No
599,0374-FIUCA,No
600,5839-SUYVZ,No
601,5173-ZXXXL,No
602,1096-ADRUX,No
603,2001-MCUUW,No
604,2731-GJRDG,No
605,4723-BEGSG,No
606,6516-NKQBO,No
607,8672-OAUPW,No
608,8207-DMRVL,No
609,3419-SNJJD,No
610,6543-CPZMK,No
611,4765-OXPPD,No
612,2804-ETQDK,No
613,6689-VRRTK,No
614,7138-GIRSH,No
615,9396-ZSFLL,No
616,6464-KEXXH,No
617,7134-MJPDY,No
618,5240-CAOYT,No
619,4059-IIEBK,Yes
620,4881-JVQOD,No
621,0516-UXRMT,No
622,4851-BQDNX,No
623,5148-HKFIR,No
624,1009-IRMNA,No
625,3003-CMDUU,Yes
626,5016-IBERQ,Yes
627,6797-UCJHZ,No
628,2469-DTSGX,No
629,4554-YGZIH,No
630,5099-BAILX,No
631,9931-KGHOA,No
632,1775-KWJKQ,No
633,7665-VIGUD,No
634,9411-TPQQV,No
635,7207-RMRDB,No
636,7954-MLBUN,No
637,2077-DDHJK,No
638,4913-EHYUI,No
639,0195-IESCP,Yes
640,9574-BOSMD,No
641,4580-TMHJU,No
642,0970-ETWGE,Yes
643,4908-XAXAY,No
644,8404-VLQFB,No
645,1626-ERCMM,Yes
646,0887-HJGAR,Yes
647,2391-IPLOP,No
648,5644-PDMZC,Yes
649,3509-GWQGF,No
650,9576-ANLXO,Yes
651,2024-BASKD,Yes
652,5845-BZZIB,No
653,1140-UKVZG,No
654,4160-AMJTL,No
655,5183-SNMJQ,Yes
656,8100-PNJMH,No
657,7838-LAZFO,No
658,4464-JCOLN,No
659,2085-JVGAD,No
660,5650-VDUDS,Yes
661,8095-WANWK,No
662,3030-ZKIWL,Yes
663,9565-FLVCG,No
664,8755-OGKNA,No
665,2800-VEQXM,Yes
666,7538-GWHML,Yes
667,5533-RJFTJ,No
668,3859-CVCET,No
669,0214-JHPFW,No
670,5642-MHDQT,No
671,3088-FVYWK,No
672,3276-HDUEG,Yes
673,9092-GDZKO,No
674,0823-HSCDJ,No
675,3729-OWRVL,No
676,2324-AALNO,No
677,0822-GAVAP,Yes
678,5760-IFJOZ,Yes
679,2826-UWHIS,No
680,1448-PWKYE,Yes
681,7501-IWUNG,No
682,4957-TREIR,No
683,7251-LJBQN,No
684,8040-MNRTF,Yes
685,1536-HBSWP,Yes
686,5313-FPXWG,No
687,0067-DKWBL,Yes
688,0946-FKYTX,No
689,5076-YVXCM,No
690,8262-COGGB,No
691,6663-JOCQO,No
692,9620-QJREV,No
693,2276-YDAVZ,Yes
694,2682-KEVRP,No
695,2480-JZOSN,No
696,0078-XZMHT,No
697,5896-NPFWW,Yes
698,9978-HYCIN,No
699,8338-QIUNR,No
700,1525-LNLOJ,No
701,9450-TRJUU,No
702,1766-GKNMI,Yes
703,6942-LBFDP,No
704,1456-TWCGB,No
705,7133-VBDCG,No
706,7596-ZYWBB,No
707,8329-UTMVM,No
708,3014-WJKSM,No
709,3347-YJZZE,No
710,1029-QFBEN,No
711,7929-DMBCV,No
712,9661-JALZV,No
713,5433-KYGHE,No
714,4312-KFRXN,No
715,5575-TPIZQ,No
716,0114-IGABW,No
717,9944-AEXBM,No
718,1853-ARAAQ,No
719,6952-OMNWB,No
720,4697-LUPSU,No
721,8434-VGEQQ,No
722,4952-YSOGZ,Yes
723,1589-AGTLK,Yes
724,5244-IRFIH,Yes
725,6549-YMFAW,No
726,4950-HKQTE,No
727,6786-OBWQR,Yes
728,2684-EIWEO,No
729,2753-JMMCV,No
730,6439-GTPCA,No
731,6621-YOBKI,No
732,1216-JWVUX,No
733,7564-GHCVB,No
734,1173-NOEYG,No
735,7595-EHCDL,No
736,6647-ZEDXT,No
737,2521-NPUZR,No
738,1307-TVUFB,No
739,7503-MIOGA,No
740,4381-MHQDC,No
741,6923-JHPMP,Yes
742,5138-WVKYJ,Yes
743,4018-PPNDW,No
744,1635-FJFCC,No
745,2499-AJYUA,No
746,6919-ELBGL,No
747,3966-HRMZA,No
748,6425-JWTDV,No
749,8405-IGQFX,No
750,8224-IVVPA,No
751,9477-LGWQI,No
752,1410-RSCMR,No
753,3115-CZMZD,error occurred
754,0139-IVFJG,Yes
755,6683-VLCTZ,Yes
756,5730-DBDSI,No
757,0030-FNXPP,No
758,2189-WWOEW,No
759,5684-FJVYR,No
760,4013-GUXND,No
761,1894-IGFSG,Yes
762,7379-POKDZ,Yes
763,1266-NZYUI,No
764,7969-FFOWG,No
765,4718-DHSMV,No
766,5175-WLYXL,No
767,7817-OMJNA,No
768,8728-SKJLR,No
769,3137-NYQQI,No
770,7706-DZNKK,No
771,0236-HFWSV,Yes
772,3900-AQPHZ,No
773,5842-POCOP,Yes
774,2037-XJFUP,No
775,8823-RLPWL,No
776,9505-SQFSW,No
777,7314-OXENN,Yes
778,3758-CKOQL,No
779,0322-CHQRU,Yes
780,5676-CFLYY,No
781,7521-AFHAB,No
782,0285-INHLN,No
783,4678-DVQEO,Yes
784,5125-CNDSP,No
785,0691-IFBQW,No
786,4992-LTJNE,No
787,2202-OUTMO,No
788,0810-BDHAW,No
789,0229-LFJAF,No
790,7131-ZQZNK,No
791,3442-ZHHCC,No
792,5726-CVNYA,No
793,9871-ELEYA,No
794,4257-GAESD,No
795,5173-WXOQV,No
796,2040-OBMLJ,No
797,6286-ZHAOK,No
798,3807-XHCJH,Yes
799,3009-JWMPU,No
800,5671-RQRLP,No
801,1450-GALXR,Yes
802,8859-AXJZP,No
803,3174-AKMAS,No
804,3138-BKYAV,Yes
805,9926-PJHDQ,No
806,7382-DFJTU,No
807,2798-NYLMZ,No
808,4289-DTDKW,Yes
809,1820-TQVEV,Yes
810,2239-JALAW,No
811,4853-RULSV,No
812,8098-TDCBU,No
813,3551-GAEGL,No
814,4785-NKHCX,No
815,3196-NVXLZ,No
816,6275-YDUVO,Yes
817,0036-IHMOT,No
818,0115-TFERT,Yes
819,4178-EGMON,No
820,4220-TINQT,No
821,5318-YKDPV,No
822,7975-TZMLR,No
823,0295-QVKPB,No
824,4335-BSMJS,No
825,2311-QYMUQ,No
826,3643-AHCFP,Yes
827,9146-JRIOX,No
828,3104-OWCGK,No
829,5337-IIWKZ,No
830,9101-BWFSS,No
831,9650-VBUOG,No
832,3487-EARAT,No
833,2672-TGEFF,No
834,9231-ZJYAM,Yes
835,4250-WAROZ,No
836,8184-WMOFI,No
837,6982-SSHFK,Yes
838,6092-QZVPP,No
839,4625-LAMOB,No
840,0727-BMPLR,No
841,0392-BZIUW,No
842,1038-ZAGBI,No
843,6549-NNDYT,No
844,3027-ZTDHO,Yes
845,0422-OHQHQ,No
846,6916-HIJSE,No
847,2316-ESMLS,No
848,9778-OGKQZ,No
849,7408-OFWXJ,No
850,6007-TCTST,No
851,2252-NKNSI,No
852,8713-IGZSO,No
853,7905-TVXTA,No
854,7695-PKLCZ,No
855,2382-BCKQJ,No
856,8374-UULRV,No
857,2207-NHRJK,Yes
858,3224-DFQNQ,No
859,5275-PMFUT,No
860,4795-UXVCJ,No
861,9777-IQHWP,No
862,0947-MUGVO,Yes
863,9944-HKVVB,Yes
864,4124-MMETB,No
865,3671-SHRSP,No
866,0979-MOZQI,No
867,2732-ISEZX,No
868,3313-QKNKB,No
869,0323-XWWTN,No
870,1937-OTUKY,No
871,1573-LGXBA,No
872,1764-VUUMT,No
873,5073-WXOYN,No
874,4713-ZBURT,No
875,3050-GBUSH,No
876,0207-MDKNV,Yes
877,7876-AEHIG,No
878,7945-HLKEA,No
879,9342-VNIMQ,No
880,9851-KIELU,Yes
881,3523-BRGUW,No
882,3908-BLSYF,Yes
883,3199-NPKCN,No
884,5170-PTRKA,No
885,4661-NJEUX,Yes
886,2123-AGEEN,Yes
887,1258-YMZNM,No
888,0048-LUMLS,No
889,7549-MYGPK,No
890,5898-IGSLP,No
891,3804-RVTGV,No
892,6259-WJQLC,No
893,9227-LUNBG,Yes
894,7997-EASSD,No
895,0730-KOAVE,No
896,8975-SKGRX,No
897,0678-RLHVP,No
898,4315-MURBD,Yes
899,2267-FPIMA,No
900,1051-GEJLJ,No
901,9734-YWGEX,Yes
902,2719-BDAQO,Yes
903,5285-MVEHD,No
904,0379-DJQHR,No
905,0781-LKXBR,Yes
906,5543-QDCRY,No
907,0297-RBCSG,No
908,4694-PHWFW,No
909,0835-JKADZ,No
910,1907-UBQFC,Yes
911,7508-SMHXL,Yes
912,3865-YIOTT,No
913,5993-BQHEA,No
914,6024-RUGGH,No
915,6513-EECDB,Yes
916,3956-CJUST,No
917,4079-WWQQQ,No
918,6103-BOCOU,Yes
919,5149-TGWDZ,No
920,7471-WNSUF,No
921,8942-DBMHZ,No
922,4301-VVZKA,Yes
923,9199-PWQVC,No
924,4824-GUCBY,No
925,5393-HJZSM,No
926,7074-IEVOJ,Yes
927,9625-QSTYE,Yes
928,0862-PRCBS,No
929,8812-ZRHFP,No
930,5146-CBVOE,No
931,0454-OKRCT,No
932,5787-KXGIY,No
933,4750-ZRXIU,Yes
934,4198-VFOEA,No
935,6630-UJZMY,Yes
936,5709-LVOEQ,error occurred
937,6400-BWQKW,No
938,2692-AQCPF,No
939,0347-UBKUZ,No
940,0835-DUUIQ,No
941,0811-GSDTP,No
942,7567-ECMCM,No
943,6115-ZTBFQ,No
944,6353-BRMMA,No
945,6680-WKXRZ,Yes
946,6231-WFGFH,No
947,9904-EHEVJ,No
948,7028-DVOIQ,Yes
949,6169-PPETC,No
950,4208-UFFGW,Yes
951,8584-KMVXD,Yes
952,8467-WYNSR,No
953,0851-DFJKB,No
954,5382-SOYZL,Yes
955,9448-REEVD,Yes
956,3261-CQXOL,No
957,8388-FYNPZ,No
958,4002-BQWPQ,No
959,5651-YLPRD,Yes
960,2826-DXLQO,No
961,4378-BZYFP,No
962,9489-UTFKA,No
963,4849-PYRLQ,No
964,9117-SHLZX,Yes
965,9889-TMAHG,Yes
966,4541-RMRLG,No
967,7764-BDPEE,No
968,3429-IFLEM,No
969,3158-MOERK,Yes
970,7294-TMAOP,Yes
971,5002-GCQFH,No
972,0556-FJEGU,No
973,8919-FYFQZ,No
974,0604-THJFP,No
975,2834-JRTUA,No
976,5875-YPQFJ,Yes
977,5879-SESNB,Yes
978,6646-QVXLR,No
979,6461-PPAXN,No
980,3318-ISQFQ,No
981,1106-HRLKZ,No
982,2483-XSSMZ,No
983,8603-IJWDN,Yes
984,8165-ZJRNM,No
985,9369-XFEHK,Yes
986,2604-XVDAM,No
987,3717-OFRTN,No
988,9046-JBFWA,No
989,3280-NMUVX,No
990,1206-EHBDD,No
991,8361-LBRDI,No
992,4883-KCPZJ,No
993,9108-EQPNQ,No
994,7277-KAMWT,No
995,3842-IYKUE,No
996,6641-XRPSU,No
997,1374-DMZUI,Yes
998,2545-LXYVJ,No
999,3234-VKACU,Yes
1000,8357-EQXFO,Yes
1001,1989-PRJHP,No
1002,8120-JDCAM,No
1003,8917-FAEMR,No
1004,7047-YXDMZ,No
1005,2858-EIMXH,No
1006,9524-EGPJC,No
1007,6993-OHLXR,Yes
1008,8818-XYFCQ,No
1009,6419-ZTTLE,No
1010,0929-HYQEW,No
1011,6614-YOLAC,No
1012,7426-RHZGU,Yes
1013,4065-JJAVA,No
1014,4695-VADHF,No
1015,3863-IUBJR,No
1016,7649-SIJJF,No
1017,9361-YNQWJ,No
1018,3748-FVMZZ,Yes
1019,9391-TTOYH,No
1020,1452-XRSJV,No
1021,3422-WJOYD,No
1022,8242-SOQUO,Yes
1023,7460-ITWWP,No
1024,7147-AYBAA,No
1025,7868-TMWMZ,No
1026,4822-RVYBB,Yes
1027,6732-FZUGP,No
1028,8436-BJUMM,Yes
1029,4184-TJFAN,Yes
1030,8329-GWVPJ,No
